day_of_week,trip_id,date
Monday,1,19/08/2024
Monday,2,19/08/2024
Monday,3,19/08/2024
Monday,4,19/08/2024
Monday,6,19/08/2024
Monday,7,19/08/2024
Monday,8,19/08/2024
Monday,9,19/08/2024
Monday,11,19/08/2024
Monday,13,19/08/2024
Monday,14,19/08/2024
Monday,16,19/08/2024
Monday,18,19/08/2024
Monday,19,19/08/2024
Monday,21,19/08/2024
Monday,22,19/08/2024
Monday,23,19/08/2024
Monday,24,19/08/2024
Tuesday,1,20/08/2024
Tuesday,2,20/08/2024
Tuesday,5,20/08/2024
Tuesday,6,20/08/2024
Tuesday,7,20/08/2024
Tuesday,10,20/08/2024
Tuesday,11,20/08/2024
Tuesday,12,20/08/2024
Tuesday,15,20/08/2024
Tuesday,16,20/08/2024
Tuesday,17,20/08/2024
Tuesday,20,20/08/2024
Tuesday,21,20/08/2024
Tuesday,22,20/08/2024
Tuesday,25,20/08/2024
Wednesday,1,21/08/2024
Wednesday,2,21/08/2024
Wednesday,3,21/08/2024
Wednesday,6,21/08/2024
Wednesday,7,21/08/2024
Wednesday,8,21/08/2024
Wednesday,11,21/08/2024
Wednesday,12,21/08/2024
Wednesday,13,21/08/2024
Wednesday,16,21/08/2024
Wednesday,17,21/08/2024
Wednesday,18,21/08/2024
Wednesday,21,21/08/2024
Wednesday,22,21/08/2024
Wednesday,23,21/08/2024
Thursday,1,22/08/2024
Thursday,2,22/08/2024
Thursday,3,22/08/2024
Thursday,4,22/08/2024
Thursday,5,22/08/2024
Thursday,6,22/08/2024
Thursday,7,22/08/2024
Thursday,8,22/08/2024
Thursday,9,22/08/2024
Thursday,10,22/08/2024
Thursday,11,22/08/2024
Thursday,12,22/08/2024
Thursday,13,22/08/2024
Thursday,14,22/08/2024
Thursday,15,22/08/2024
Thursday,16,22/08/2024
Thursday,17,22/08/2024
Thursday,18,22/08/2024
Thursday,19,22/08/2024
Thursday,20,22/08/2024
Thursday,21,22/08/2024
Thursday,22,22/08/2024
Thursday,23,22/08/2024
Thursday,24,22/08/2024
Thursday,25,22/08/2024
Friday,1,23/08/2024
Friday,2,23/08/2024
Friday,3,23/08/2024
Friday,4,23/08/2024
Friday,6,23/08/2024
Friday,7,23/08/2024
Friday,8,23/08/2024
Friday,9,23/08/2024
Friday,11,23/08/2024
Friday,12,23/08/2024
Friday,14,23/08/2024
Friday,16,23/08/2024
Friday,17,23/08/2024
Friday,19,23/08/2024
Friday,21,23/08/2024
Friday,22,23/08/2024
Friday,23,23/08/2024
Friday,24,23/08/2024
Saturday,1,24/08/2024
Saturday,2,24/08/2024
Saturday,5,24/08/2024
Saturday,6,24/08/2024
Saturday,7,24/08/2024
Saturday,10,24/08/2024
Saturday,11,24/08/2024
Saturday,12,24/08/2024
Saturday,15,24/08/2024
Saturday,16,24/08/2024
Saturday,17,24/08/2024
Saturday,20,24/08/2024
Saturday,21,24/08/2024
Saturday,22,24/08/2024
Saturday,25,24/08/2024
Monday,26,19/08/2024
Monday,27,19/08/2024
Monday,29,19/08/2024
Monday,30,19/08/2024
Monday,31,19/08/2024
Monday,32,19/08/2024
Monday,33,19/08/2024
Monday,35,19/08/2024
Monday,36,19/08/2024
Monday,37,19/08/2024
Monday,38,19/08/2024
Monday,39,19/08/2024
Monday,41,19/08/2024
Monday,42,19/08/2024
Monday,43,19/08/2024
Monday,44,19/08/2024
Monday,45,19/08/2024
Monday,47,19/08/2024
Monday,48,19/08/2024
Monday,49,19/08/2024
Monday,50,19/08/2024
Monday,51,19/08/2024
Monday,53,19/08/2024
Monday,54,19/08/2024
Monday,55,19/08/2024
Tuesday,26,20/08/2024
Tuesday,27,20/08/2024
Tuesday,28,20/08/2024
Tuesday,29,20/08/2024
Tuesday,30,20/08/2024
Tuesday,31,20/08/2024
Tuesday,32,20/08/2024
Tuesday,33,20/08/2024
Tuesday,34,20/08/2024
Tuesday,35,20/08/2024
Tuesday,36,20/08/2024
Tuesday,37,20/08/2024
Tuesday,38,20/08/2024
Tuesday,39,20/08/2024
Tuesday,40,20/08/2024
Tuesday,42,20/08/2024
Tuesday,43,20/08/2024
Tuesday,44,20/08/2024
Tuesday,45,20/08/2024
Tuesday,46,20/08/2024
Tuesday,48,20/08/2024
Tuesday,49,20/08/2024
Tuesday,50,20/08/2024
Tuesday,51,20/08/2024
Tuesday,52,20/08/2024
Tuesday,53,20/08/2024
Tuesday,54,20/08/2024
Tuesday,55,20/08/2024
Wednesday,27,21/08/2024
Wednesday,28,21/08/2024
Wednesday,29,21/08/2024
Wednesday,30,21/08/2024
Wednesday,31,21/08/2024
Wednesday,33,21/08/2024
Wednesday,34,21/08/2024
Wednesday,35,21/08/2024
Wednesday,36,21/08/2024
Wednesday,37,21/08/2024
Wednesday,39,21/08/2024
Wednesday,41,21/08/2024
Wednesday,42,21/08/2024
Wednesday,43,21/08/2024
Wednesday,45,21/08/2024
Wednesday,47,21/08/2024
Wednesday,48,21/08/2024
Wednesday,49,21/08/2024
Wednesday,51,21/08/2024
Wednesday,52,21/08/2024
Wednesday,53,21/08/2024
Wednesday,54,21/08/2024
Wednesday,55,21/08/2024
Thursday,27,22/08/2024
Thursday,28,22/08/2024
Thursday,29,22/08/2024
Thursday,30,22/08/2024
Thursday,33,22/08/2024
Thursday,34,22/08/2024
Thursday,35,22/08/2024
Thursday,36,22/08/2024
Thursday,39,22/08/2024
Thursday,40,22/08/2024
Thursday,41,22/08/2024
Thursday,42,22/08/2024
Thursday,45,22/08/2024
Thursday,46,22/08/2024
Thursday,47,22/08/2024
Thursday,48,22/08/2024
Thursday,51,22/08/2024
Thursday,52,22/08/2024
Thursday,53,22/08/2024
Thursday,54,22/08/2024
Friday,27,23/08/2024
Friday,28,23/08/2024
Friday,29,23/08/2024
Friday,30,23/08/2024
Friday,31,23/08/2024
Friday,33,23/08/2024
Friday,34,23/08/2024
Friday,35,23/08/2024
Friday,36,23/08/2024
Friday,37,23/08/2024
Friday,39,23/08/2024
Friday,40,23/08/2024
Friday,41,23/08/2024
Friday,42,23/08/2024
Friday,43,23/08/2024
Friday,45,23/08/2024
Friday,46,23/08/2024
Friday,47,23/08/2024
Friday,48,23/08/2024
Friday,49,23/08/2024
Friday,51,23/08/2024
Friday,52,23/08/2024
